bowler,wickets,runs_conceded,balls_bowled,matches,economy,bowling_sr
A Kumble,49,1089,983,42,6.65,20.1
A Mishra,183,4193,3444,162,7.3,18.8
A Nehra,121,2537,1974,88,7.71,16.3
A Nortje,62,1614,1097,46,8.83,17.7
A Singh,31,639,486,23,7.89,15.7
A Symonds,23,694,540,30,7.71,23.5
A Zampa,30,562,425,20,7.93,14.2
AB Agarkar,33,1174,820,42,8.59,24.8
AB Dinda,82,2103,1589,75,7.94,19.4
AD Mathews,28,1095,807,44,8.14,28.8
AD Russell,125,2691,1771,112,9.12,14.2
AJ Tye,48,1005,714,30,8.45,14.9
AR Patel,131,3824,3152,148,7.28,24.1
AS Joseph,22,707,454,22,9.34,20.6
AS Rajpoot,24,844,567,29,8.93,23.6
Anureet Singh,21,636,430,22,8.87,20.5
Arshdeep Singh,84,2097,1453,65,8.66,17.3
Avesh Khan,81,2010,1390,62,8.68,17.2
Azhar Mahmood,31,707,552,23,7.68,17.8
B Kumar,195,5051,4060,176,7.46,20.8
B Lee,30,1126,916,38,7.38,30.5
BA Stokes,31,1023,723,38,8.49,23.3
BB Sran,20,767,516,24,8.92,25.8
Basil Thampi,26,862,539,25,9.6,20.7
Bipul Sharma,22,581,436,28,8.0,19.8
C Green,20,675,462,29,8.77,23.1
CH Morris,107,2377,1801,81,7.92,16.8
CJ Jordan,36,1111,717,34,9.3,19.9
CR Woakes,31,674,463,21,8.73,14.9
CV Varun,85,2042,1624,70,7.54,19.1
DE Bollinger,43,716,600,27,7.16,14.0
DJ Bravo,207,4436,3296,158,8.08,15.9
DL Chahar,79,2243,1746,81,7.71,22.1
DL Vettori,34,894,785,34,6.83,23.1
DP Nannes,38,815,689,29,7.1,18.1
DR Smith,27,825,557,46,8.89,20.6
DS Kulkarni,91,2513,1876,92,8.04,20.6
DT Christian,40,1218,922,49,7.93,23.0
DW Steyn,105,2583,2282,95,6.79,21.7
GB Hogg,25,585,466,21,7.53,18.6
GJ Maxwell,41,1311,965,79,8.15,23.5
HH Pandya,70,2196,1485,93,8.87,21.2
HV Patel,151,3215,2284,103,8.45,15.1
Harbhajan Singh,161,4101,3496,160,7.04,21.7
Harmeet Singh,31,747,574,28,7.81,18.5
Harpreet Brar,25,907,692,39,7.86,27.7
I Sharma,96,3255,2429,110,8.04,25.3
IK Pathan,99,2711,2113,101,7.7,21.3
Imran Tahir,86,1729,1340,59,7.74,15.6
Iqbal Abdulla,45,1125,943,48,7.16,21.0
J Botha,27,818,709,34,6.92,26.3
J Suchith,20,604,434,21,8.35,21.7
JA Morkel,96,2409,1807,87,8.0,18.8
JC Archer,49,1210,987,40,7.36,20.1
JD Unadkat,109,3219,2194,104,8.8,20.1
JH Kallis,74,2348,1799,89,7.83,24.3
JJ Bumrah,182,3840,3185,133,7.23,17.5
JO Holder,59,1489,1049,46,8.52,17.8
JP Duminy,23,847,701,49,7.25,30.5
JP Faulkner,76,1849,1287,60,8.62,16.9
JR Hazlewood,36,830,622,27,8.01,17.3
K Gowtham,22,825,599,35,8.26,27.2
K Rabada,126,2652,1907,80,8.34,15.1
KA Pollard,81,2200,1586,107,8.32,19.6
KH Pandya,80,2644,2183,117,7.27,27.3
KK Ahmed,78,1918,1345,57,8.56,17.2
KK Cooper,36,789,600,25,7.89,16.7
KV Sharma,82,2130,1520,82,8.41,18.5
Kuldeep Yadav,90,2413,1786,82,8.11,19.8
L Balaji,85,2083,1574,73,7.94,18.5
LH Ferguson,57,1451,1002,45,8.69,17.6
M Ashwin,35,1182,898,44,7.9,25.7
M Jansen,22,732,487,21,9.02,22.1
M Kartik,39,1418,1182,55,7.2,30.3
M Markande,37,1081,737,37,8.8,19.9
M Morkel,88,2136,1699,70,7.54,19.3
M Muralitharan,67,1765,1581,66,6.7,23.6
M Pathirana,38,617,503,20,7.36,13.2
M Prasidh Krishna,54,1741,1231,51,8.49,22.8
M Theekshana,25,814,631,27,7.74,25.2
MA Starc,59,1175,879,39,8.02,14.9
MC Henriques,46,1302,979,60,7.98,21.3
MF Maharoof,33,532,441,20,7.24,13.4
MG Johnson,66,1740,1301,54,8.02,19.7
MJ McClenaghan,75,1839,1346,56,8.2,17.9
MM Ali,40,900,770,52,7.01,19.2
MM Patel,82,1733,1382,63,7.52,16.9
MM Sharma,147,3278,2308,111,8.52,15.7
MP Stoinis,45,1300,831,62,9.39,18.5
MR Marsh,37,803,593,34,8.12,16.0
MS Gony,39,1317,925,44,8.54,23.7
Mohammed Shami,144,3486,2521,110,8.3,17.5
Mohammed Siraj,96,2894,2081,93,8.34,21.7
Mohsin Khan,27,698,507,23,8.26,18.8
Mukesh Kumar,31,707,420,20,10.1,13.5
Mustafizur Rahman,70,1792,1353,57,7.95,19.3
NLTC Perera,37,1031,715,36,8.65,19.3
NM Coulter-Nile,52,1125,892,38,7.57,17.2
Navdeep Saini,26,968,682,31,8.52,26.2
Noor Ahmad,24,672,513,23,7.86,21.4
P Awana,43,1046,774,33,8.11,18.0
P Kumar,102,3342,2637,119,7.6,25.9
P Negi,38,954,733,42,7.81,19.3
PJ Cummins,66,1976,1370,58,8.65,20.8
PJ Sangwan,44,1267,905,42,8.4,20.6
PP Chawla,201,5179,3895,191,7.98,19.4
PP Ojha,99,2399,1945,90,7.4,19.6
PV Tambe,28,866,674,33,7.71,24.1
PWH de Silva,36,758,557,26,8.17,15.5
R Ashwin,198,5435,4679,208,6.97,23.6
R Bhatia,82,2059,1661,91,7.44,20.3
R Dhawan,27,922,693,36,7.98,25.7
R Sharma,42,1100,935,44,7.06,22.3
R Tewatia,36,1117,866,52,7.74,24.1
R Vinay Kumar,127,3041,2186,104,8.35,17.2
RA Jadeja,169,4917,3895,211,7.57,23.0
RD Chahar,76,2165,1697,77,7.65,22.3
RE van der Merwe,25,515,455,21,6.79,18.2
RJ Harris,47,1085,865,37,7.53,18.4
RP Singh,100,2417,1874,82,7.74,18.7
Rashid Khan,157,3340,2901,121,6.91,18.5
Ravi Bishnoi,68,1861,1460,65,7.65,21.5
S Aravind,48,1057,788,38,8.05,16.4
S Gopal,53,1358,1000,51,8.15,18.9
S Kaul,63,1772,1238,55,8.59,19.7
S Nadeem,54,1800,1444,70,7.48,26.7
S Sreesanth,43,1221,947,44,7.74,22.0
SB Jakati,50,1474,1101,57,8.03,22.0
SK Raina,30,1139,930,69,7.35,31.0
SK Trivedi,73,1944,1557,75,7.49,21.3
SK Warne,60,1465,1223,54,7.19,20.4
SL Malinga,188,3486,2974,122,7.03,15.8
SM Curran,62,1924,1234,58,9.35,19.9
SN Thakur,100,2908,1979,92,8.82,19.8
SP Narine,200,4672,4146,175,6.76,20.7
SR Watson,107,2742,2137,105,7.7,20.0
STR Binny,28,763,611,63,7.49,21.8
SW Tait,26,668,534,21,7.51,20.5
Sandeep Sharma,153,3758,2925,126,7.71,19.1
Shahbaz Ahmed,21,850,549,42,9.29,26.1
Shakib Al Hasan,71,1864,1515,70,7.38,21.3
Shivam Mavi,33,958,687,32,8.37,20.8
T Natarajan,76,2001,1401,61,8.57,18.4
TA Boult,128,3286,2428,103,8.12,19.0
TG Southee,57,1774,1262,54,8.43,22.1
TU Deshpande,46,1275,831,36,9.21,18.1
UT Yadav,163,4442,3190,147,8.35,19.6
Umran Malik,31,785,519,26,9.08,16.7
VG Arora,20,598,418,20,8.58,20.9
VR Aaron,46,1527,1065,50,8.6,23.2
WD Parnell,40,968,758,33,7.66,19.0
Washington Sundar,39,1335,1064,58,7.53,27.3
YK Pathan,46,1443,1184,82,7.31,25.7
YS Chahal,213,4681,3628,159,7.74,17.0
Yash Dayal,31,933,615,28,9.1,19.8
Yuvraj Singh,39,1091,882,73,7.42,22.6
Z Khan,119,2860,2276,99,7.54,19.1
